dataset,trainer,model,seed,accs,mccs,uai_05,uai_01,uai_cf,uai_ar_05,uai_ar_01
loan,ERM,mlp,51,0.85,0.6994742465659196,0.376,0.371,0.369,0.274,0.269
loan,ERM,mlp,52,0.845,0.6906453779682562,0.299,0.291,0.288,0.191,0.18
adult,CAPIFY,mlp,35,0.7714987714987716,0.46595735967263646,0.057,0.025,0.016,0.039,0.01
adult,CAPIFY,mlp,36,0.7598280098280098,0.4890577023503932,0.081,0.045,0.034,0.05,0.014
adult,CAPIFY,mlp,37,0.7417076167076168,0.47637529491903446,0.072,0.047,0.04,0.044,0.009
imf,ERM,lin,98,0.74,0.482729246991769,0.052,0.019,0.015,0.036,0.016
imf,ERM,lin,99,0.69,0.3868268375211532,0.049,0.016,0.008,0.037,0.008
imf,ERM,lin,9,0.695,0.40454685926617995,0.068,0.048,0.042,0.029,0.018
imf,LLR,lin,0,0.5525,0.1488997421029615,0.344,0.336,0.333,0.073,0.056
adult,CAL,mlp,99,0.7977579852579852,0.535849223413061,0.255,0.223,0.213,0.052,0.012
nlm,LLR,mlp,39,0.4,0.2485112387560662,0.402,0.396,0.394,0.098,0.09
nlm,LLR,mlp,3,0.375,0.22692371101118902,0.346,0.327,0.323,0.189,0.167
loan,LLR,mlp,40,0.6875,0.37297204086295116,0.234,0.227,0.225,0.078,0.073
loan,LLR,mlp,41,0.6825,0.363319376856927,0.244,0.235,0.234,0.065,0.059
lin,CAL,lin,6,0.5525,0.1228106697265705,0.874,0.865,0.862,0.169,0.14
lin,CAL,lin,70,0.575,0.1747738785372575,0.896,0.888,0.885,0.173,0.146
lin,ERM,lin,14,0.685,0.32491293337331206,0.445,0.429,0.423,0.145,0.13
lin,ERM,lin,15,0.6775,0.32497584070378704,0.437,0.423,0.423,0.208,0.188
lin,ERM,lin,16,0.6525,0.3530918400898661,0.473,0.456,0.452,0.174,0.166
nlm,ROSS,mlp,28,0.7125,0.4869253186118357,0.602,0.587,0.581,0.453,0.407
nlm,ROSS,mlp,29,0.665,0.3754696307413191,0.564,0.533,0.529,0.424,0.397
